name,genre,artists,album,popularity,Explicit
Acoustic,acoustic,Billy Raffoul,1975,58,FALSE
Acoustic,acoustic,Billy Raffoul,A Few More Hours at YYZ,57,FALSE
Here Comes the Sun - Acoustic,acoustic,"Molly Hocking, Bailey Rushlow",Here Comes the Sun (Acoustic),42,FALSE
Acoustic #3,acoustic,The Goo Goo Dolls,Dizzy up the Girl,46,FALSE
My Love Mine All Mine - Acoustic Instrumental,acoustic,"Guus Dielissen, Casper Esmann",My Love Mine All Mine (Acoustic Instrumental),33,FALSE
Acoustic,acoustic,Ling tosite sigure,#4,14,FALSE
Beautiful Things - Acoustic,acoustic,Benson Boone,Daydream,0,FALSE
Landslide,acoustic,"Guus Dielissen, Andrew Gialanella",Landslide,29,FALSE
Acoustic,acoustic,Sonido de Agua en Bambu,Agua,15,FALSE
Acoustic Energy Vibrations,acoustic,"Healing Solfeggio Frequencies, Harmony Touch",528: Mind & Body Healing,45,FALSE
Little Lies,acoustic,Roses & Frey,Little Lies,39,FALSE
Acoustic,acoustic,The Re-Stoned,Plasma,8,FALSE
Too Good At Goodbyes - Acoustic,acoustic,Sam Smith,Hear The Pride,0,FALSE
The One (Acoustic Cover),acoustic,The Moon Loungers,The One (Acoustic Cover),25,FALSE
Acoustic,acoustic,"Lesfm, Olexy",Acoustic,5,FALSE
Love Is Gone - Acoustic,acoustic,"SLANDER, Dylan Matthew",Love Is Gone (Acoustic),71,FALSE
What If - Acoustic Sessions,acoustic,Cody Fry,Acoustic Sessions - Live From Nashville,25,FALSE
Acoustic,acoustic,Mortal Treason,A Call To The Martyrs,3,FALSE
Cayendo (Side A - Acoustic),acoustic,Frank Ocean,Cayendo (Side A - Acoustic),63,FALSE
Afrobeat 2023 Mixtape,afrobeat,Dj funkybee,Afrobeat 2023 Mixtape,28,TRUE
Afrobeat Heatwave,afrobeat,"Lofi Afrobeats, Dj Discoteca, AfrooBeatZ, Dj AfroBeats, Afro Beat Music",Exotic Afro Discoteca - Jungle Boogie Fiesta,2,FALSE
UNAVAILABLE (feat. Musa Keys),afrobeat,"Davido, Musa Keys",Timeless,68,TRUE
Afrobeat,afrobeat,Gbenga,Let's Give Thanks,21,FALSE
AfroBeat Chaka Chaka,afrobeat,Giuliano Nicolis,AfroBeat Chaka Chaka,30,FALSE
Lonely At The Top,afrobeat,Asake,Work Of Art,69,FALSE
Afrobeat,afrobeat,FASSounds,Summer Tunes vol. 1,8,FALSE
Afrobeat Ki Masti,afrobeat,Karl Lion,Afrobeat Ki Masti,25,FALSE
Soweto,afrobeat,"Victony, Tempoe",Outlaw,69,TRUE
Afrobeat,afrobeat,Jujuba,Jujuba,3,FALSE
Afrobeats Mix Flight OSO 149,afrobeat,Osocity,Afrobeats Mix Flight OSO 149,26,TRUE
Holy Ghost,afrobeat,Omah Lay,Holy Ghost,68,FALSE
Afrobeat,afrobeat,Entspannungsmusik Meer,"Einfach entspannen, Vol. 2",4,FALSE
Charm,afrobeat,Rema,Rave & Roses Ultra,65,TRUE
Afrobeat,afrobeat,Bür Gür,Have You Lost Your Faith In God,0,FALSE
Afrobeat Renaissance - Alternate Drum Mix,afrobeat,"Robert Glasper, Derrick Hodge",Run The World: Season 1 (Music from the STARZ Original Series),20,FALSE
